t,eta
111.6,1.0601
111.7,1.0102
111.8,0.93131
111.9,0.83805
112,0.73723
112.1,0.6249
112.2,0.51724
112.3,0.41364
112.4,0.31065
112.5,0.2244
112.6,0.15971
112.7,0.12596
112.8,0.090146
112.9,0.042518
113,-0.012303
113.1,-0.071542
113.2,-0.11453
113.3,-0.14497
113.4,-0.16876
113.5,-0.19117
113.6,-0.22143
113.7,-0.25782
113.8,-0.30993
113.9,-0.37162
114,-0.44939
114.1,-0.55061
114.2,-0.66207
114.3,-0.76516
114.4,-0.83898
114.5,-0.90325
114.6,-0.96751
114.7,-1.0247
114.8,-1.0515
114.9,-1.0447
115,-1.0337
115.1,-1.0245
115.2,-1.0065
115.3,-0.94505
115.4,-0.84524
115.5,-0.7286
115.6,-0.59372
115.7,-0.45754
115.8,-0.31806
115.9,-0.15024
116,0.0034882
116.1,0.14748
116.2,0.27379
116.3,0.37749
116.4,0.48694
116.5,0.60311
116.6,0.70824
116.7,0.78543
116.8,0.83659
116.9,0.87268
117,0.91929
117.1,0.96156
117.2,0.98817
117.3,1.0084
117.4,1.0197
117.5,1.0206
117.6,1.0115
117.7,1.0075
117.8,1.0161
117.9,1.02
118,1.025
118.1,1.0111
118.2,0.9745
118.3,0.93744
118.4,0.89615
118.5,0.82535
118.6,0.72693
118.7,0.62663
118.8,0.51889
118.9,0.3973
119,0.25857
119.1,0.095951
119.2,-0.080404
119.3,-0.2614
119.4,-0.46472
119.5,-0.64659
119.6,-0.78923
119.7,-0.90456
119.8,-1.0221
119.9,-1.1438
120,-1.2558
120.1,-1.3533
120.2,-1.4078
120.3,-1.4156
120.4,-1.3709
120.5,-1.2983
120.6,-1.2118
120.7,-1.1155
120.8,-1.0182
120.9,-0.90943
121,-0.78113
121.1,-0.63328
121.2,-0.48258
121.3,-0.32218
121.4,-0.16803
121.5,-0.012474
121.6,0.12768
121.7,0.24677
121.8,0.32038
121.9,0.37139
122,0.4012
122.1,0.38811
122.2,0.33606
122.3,0.26782
122.4,0.19718
122.5,0.12713
122.6,0.072547
122.7,0.044839
122.8,0.01363
122.9,-0.034696
123,-0.091025
123.1,-0.13036
123.2,-0.15941
123.3,-0.16454
123.4,-0.12426
123.5,-0.06799
123.6,0.015044
123.7,0.12039
123.8,0.20968
123.9,0.28516
124,0.36192
124.1,0.43108
124.2,0.49839
124.3,0.55088
124.4,0.56995
124.5,0.56256
124.6,0.53094
124.7,0.49459
124.8,0.4706
124.9,0.43872
125,0.42613
125.1,0.44203
125.2,0.45406
125.3,0.47236
125.4,0.49282
125.5,0.49198
125.6,0.45722
125.7,0.39719
125.8,0.32661
125.9,0.24649
126,0.17458
126.1,0.11389
126.2,0.07295
126.3,0.043095
126.4,-0.008857
126.5,-0.077472
126.6,-0.15184
126.7,-0.2106
126.8,-0.26704
126.9,-0.33202
127,-0.38803
127.1,-0.44516
127.2,-0.50557
127.3,-0.53222
127.4,-0.52239
127.5,-0.47958
127.6,-0.40772
127.7,-0.31769
127.8,-0.22298
127.9,-0.12355
128,-0.030604
128.1,0.050454
128.2,0.1518
128.3,0.24365
128.4,0.31136
128.5,0.34605
128.6,0.36878
128.7,0.37751
128.8,0.38899
128.9,0.38355
129,0.3599
129.1,0.32237
129.2,0.28029
129.3,0.2314
129.4,0.17759
129.5,0.13173
129.6,0.071907
129.7,0.0097564
129.8,-0.050447
129.9,-0.08846
130,-0.10975
130.1,-0.14707
130.2,-0.18674
130.3,-0.22449
130.4,-0.27464
130.5,-0.33447
130.6,-0.39793
130.7,-0.47089
130.8,-0.54476
130.9,-0.61244
131,-0.68166
131.1,-0.7362
131.2,-0.75932
131.3,-0.77012
131.4,-0.79017
131.5,-0.81478
131.6,-0.82668
131.7,-0.81793
131.8,-0.79438
131.9,-0.7658
132,-0.73016
132.1,-0.68332
132.2,-0.62669
132.3,-0.54456
132.4,-0.44569
132.5,-0.33604
132.6,-0.22735
132.7,-0.14469
132.8,-0.087066
132.9,-0.032366
133,0.018179
133.1,0.072162
133.2,0.13282
133.3,0.2112
133.4,0.30258
133.5,0.39506
133.6,0.48802
133.7,0.58706
133.8,0.69816
133.9,0.81405
134,0.91945
134.1,0.9972
134.2,1.0674
134.3,1.1341
134.4,1.2072
134.5,1.3036
134.6,1.4049
134.7,1.4834
134.8,1.5337
134.9,1.5804
135,1.6136
135.1,1.6079
135.2,1.562
135.3,1.463
135.4,1.3247
135.5,1.1472
135.6,0.93331
135.7,0.69893
135.8,0.48184
135.9,0.26786
136,0.062348
136.1,-0.1305
136.2,-0.32469
136.3,-0.52925
136.4,-0.74752
136.5,-0.95979
136.6,-1.1495
136.7,-1.3077
136.8,-1.4237
136.9,-1.4728
137,-1.4743
137.1,-1.4452
137.2,-1.4099
137.3,-1.3835
137.4,-1.3488
137.5,-1.3134
137.6,-1.2671
137.7,-1.2115
137.8,-1.1539
137.9,-1.0803
138,-0.98756
138.1,-0.86767
138.2,-0.73566
138.3,-0.60554
138.4,-0.4778
138.5,-0.36909
138.6,-0.26669
138.7,-0.16767
138.8,-0.064497
138.9,0.017385
139,0.081116
139.1,0.16407
139.2,0.24159
139.3,0.27902
139.4,0.29742
139.5,0.30688
139.6,0.30044
139.7,0.29261
139.8,0.30179
139.9,0.32521
140,0.36501
140.1,0.40682
140.2,0.45957
140.3,0.53842
140.4,0.61586
140.5,0.67893
140.6,0.7163
140.7,0.73677
140.8,0.74253
140.9,0.73586
141,0.71777
141.1,0.69083
141.2,0.66584
141.3,0.62468
141.4,0.58594
141.5,0.55336
141.6,0.51203
141.7,0.46311
141.8,0.40735
141.9,0.32051
142,0.2191
142.1,0.10951
142.2,-0.0059785
142.3,-0.10602
142.4,-0.16791
142.5,-0.21384
142.6,-0.2644
142.7,-0.33299
142.8,-0.39427
142.9,-0.46426
143,-0.53992
143.1,-0.61002
143.2,-0.67236
143.3,-0.71687
143.4,-0.73736
143.5,-0.72533
143.6,-0.67737
143.7,-0.62945
143.8,-0.59595
143.9,-0.55786
144,-0.50051
144.1,-0.42104
144.2,-0.3332
144.3,-0.25539
144.4,-0.17956
144.5,-0.094539
144.6,0.0047518
144.7,0.097118
144.8,0.18169
144.9,0.26134
145,0.34045
145.1,0.39992
145.2,0.43357
145.3,0.46116
145.4,0.48824
145.5,0.51069
145.6,0.52406
145.7,0.52432
145.8,0.51461
145.9,0.49663
146,0.49158
146.1,0.51264
146.2,0.54192
146.3,0.55881
146.4,0.54541
146.5,0.51448
146.6,0.46572
146.7,0.39854
146.8,0.31893
146.9,0.21826
147,0.12832
147.1,0.052173
147.2,-0.022955
147.3,-0.083275
147.4,-0.11062
147.5,-0.12703
147.6,-0.1455
147.7,-0.16334
147.8,-0.18025
147.9,-0.19812
148,-0.20832
148.1,-0.21981
148.2,-0.25439
148.3,-0.3074
148.4,-0.35984
148.5,-0.40789
148.6,-0.43787
148.7,-0.44859
148.8,-0.43916
148.9,-0.41953
149,-0.39669
149.1,-0.38399
149.2,-0.36292
149.3,-0.31835
149.4,-0.27972
149.5,-0.25486
149.6,-0.2504
149.7,-0.25964
149.8,-0.26576
149.9,-0.26762
150,-0.26292
150.1,-0.26205
150.2,-0.27037
150.3,-0.29092
150.4,-0.30916
150.5,-0.33232
